"","Subbasin","each","rkt.pval","rkt.Sen","rkt.tau","RKTtrend","samples","sum.taxon"
"132","Lower Green River - E Subbasin","Zapada.Oregonensis.Group",0.0446791294825446,0.0193452380952381,0.243986254295533,"positive",21,56.2385912458054
"133","Lower Green River - W Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"134","Lyon Creek Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"135","May Creek Subbasin","Zapada.Oregonensis.Group",0.309574792374871,0,0.0714285714285714,"none",8,9.88607307609329
"136","McAleer Creek Subbasin","Zapada.Oregonensis.Group",0.502966006385715,0,-0.102941176470588,"none",5,3.11457245620141
"137","Mercer Slough Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"138","Middle Green River Subbasin","Zapada.Oregonensis.Group",0.415950020811513,0,-0.061307901907357,"none",67,355.861934708691
"139","Mill Creek Subbasin","Zapada.Oregonensis.Group",0.68465132673233,0,-0.0543478260869565,"none",24,88.7274405318006
"140","Miller Creek Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"141","Newaukum Creek Subbasin","Zapada.Oregonensis.Group",0.583532258624665,0,0.0331890331890332,"none",25,52.9287144339157
"142","North Creek Subbasin","Zapada.Oregonensis.Group",0.401694883953066,0,0.0609756097560976,"none",6,9.10281385281385
"143","Sammamish River Subbasin","Zapada.Oregonensis.Group",0.755762101404602,0,-0.0209339774557166,"none",39,170.270889391474
"144","Soos Creek Subbasin","Zapada.Oregonensis.Group",0.605046906168246,0,-0.0306748466257669,"none",32,116.313405305917
"145","Swamp Creek Subbasin","Zapada.Oregonensis.Group",0.759462865379934,0,-0.013840830449827,"none",1,3.33333333333333
"146","Thornton Creek Subbasin","Zapada.Oregonensis.Group",0.120690800527446,0,-0.105263157894737,"none",1,2.30769230769231
"147","Tibbetts Creek Subbasin","Zapada.Oregonensis.Group",0.828262540835311,0,-0.0171428571428571,"none",1,1.96078431372549
"148","Upper Cedar River Subbasin","Zapada.Oregonensis.Group",0.964233968415039,0,-0.0147058823529412,"none",8,9.57897834378097
"149","Vashon-Maury Island Subbasin","Zapada.Oregonensis.Group",0.59088569646394,0,-0.0828025477707006,"none",16,13.044738992625
"150","W Lake Sammamish Subbasin","Zapada.Oregonensis.Group",1,0,0,"none",0,0
"151","W Lake Washington - Seattle N Subbasin","Zapada.Oregonensis.Group",0.552087267301485,0,0.0661764705882353,"none",2,0.673558897243108
"152","W Lake Washington - Seattle S Subbasin","Zapada.Oregonensis.Group",1,0,-0.00256410256410256,"none",1,0.476190476190476
"153","Bear Creek Subbasin","Zapada.frigida",0.874367061162892,0,-0.00182982616651418,"none",1,2
"154","Black River Subbasin","Zapada.frigida",1,0,0,"none",0,0
"155","Coal Creek (Cedar) Subbasin","Zapada.frigida",1,0,0,"none",0,0
"156","Coal Creek (Green) Subbasin","Zapada.frigida",0.211002127774922,0,0.0684039087947883,"none",3,11.811974789916
"157","Covington Creek Subbasin","Zapada.frigida",0.522816653919089,0,-0.0119225037257824,"none",1,2.5
"158","Deep Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"159","Duwamish River Subbasin","Zapada.frigida",1,0,0,"none",0,0
"160","E Lake Sammamish Subbasin","Zapada.frigida",1,0,0,"none",0,0
"161","E Lake Washington - Kenmore N Subbasin","Zapada.frigida",1,0,0,"none",0,0
"162","E Lake Washington - Kenmore S Subbasin","Zapada.frigida",1,0,0,"none",0,0
"163","Evans Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"164","Forbes Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"165","Issaquah Creek Subbasin","Zapada.frigida",0.962429086474248,0,0.00165289256198347,"none",10,7.43357995372062
"166","Jenkins Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"167","Kelsey Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"168","Little Bear Creek Subbasin","Zapada.frigida",1,0,0.000931098696461825,"none",1,1.02127659574468
"169","Lower Cedar River Subbasin","Zapada.frigida",0.854932750043709,0,0.00549450549450549,"none",3,2.75
"170","Lower Green River - E Subbasin","Zapada.frigida",1,0,0,"none",0,0
"171","Lower Green River - W Subbasin","Zapada.frigida",1,0,0,"none",0,0
"172","Lyon Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"173","May Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"174","McAleer Creek Subbasin","Zapada.frigida",1,0,0,"none",0,0
"175","Mercer Slough Subbasin","Zapada.frigida",1,0,0,"none",0,0
