"","SiteName","SampleName","SampleDate","RiffleDepth"
"368","08CED5032","08CED5032_19",2019-07-31 16:00:00,8.04625984251969
"369","08CED4975","08CED4975_19",2019-07-31 17:30:00,2.55905511811024
"370","08CED5046","08CED5046_19",2019-07-31 20:00:00,5.21653543307087
"371","08CED2898","08CED2898_19",2019-08-01 15:12:00,2.53444881889764
"372","07SFS066611","07SFS066611_19",2019-08-01 16:15:00,2.85433070866142
"373","08CED2518","08CED2518_19",2019-08-01 17:30:00,3.74015748031496
"374","07LMS055075","07LMS055075_19",2019-08-01 19:30:00,3.29724409448819
"375","08CED2711","08CED2711_19",2019-08-01 20:45:00,2.28838582677165
"376","08LIT2781","08LIT2781_19",2019-08-05 15:45:00,6.86515748031496
"377","08NOR2306","08NOR2306_19",2019-08-05 19:00:00,5.73326771653543
"378","08EVA3642","08EVA3642_19",2019-08-06 07:00:00,1.84547244094488
"379","08SAM2674","08SAM2674_19",2019-08-06 16:45:00,2.53444881889764
"380","08BEA3650","08BEA3650_19",2019-08-06 17:30:00,3.64173228346457
"381","08BEA3826","08BEA3826_19",2019-08-06 17:40:00,1.32874015748032
"382","08BEA3914","08BEA3914_19",2019-08-06 19:25:00,1.37795275590551
"383","08NOR1362","08NOR1362_19",2019-08-06 19:40:00,5.70866141732283
"384","08LAK3121","08LAK3121_19",2019-08-06 20:17:00,2.36220472440945
"385","07RAG002867","07RAG002867_19",2019-08-07 15:45:00,2.41141732283465
"386","09MID1374","09MID1374_19",2019-08-07 16:00:00,2.82972440944882
"387","07RAG043443","07RAG043443_19",2019-08-07 18:45:00,5.56102362204724
"388","09NEW1657","09NEW1657_19",2019-08-07 20:00:00,8.12007874015748
"389","08EVA3637","08EVA3637_19",2019-08-08 16:00:00,2.18996062992126
"390","07CHR045515","07CHR045515_19",2019-08-08 16:30:00,4.7490157480315
"391","08LAK3879","08LAK3879_19",2019-08-12 15:15:00,2.33759842519685
"392","07TKL047047","07TKL047047_19",2019-08-12 15:30:00,4.92125984251969
"393","07PAT001415","07PAT001415_19",2019-08-12 18:30:00,3.98622047244094
"394","09DUW0277","09DUW0277_19",2019-08-12 19:20:00,3.42027559055118
"395","09MID1817","09MID1817_19",2019-08-13 15:45:00,2.55905511811024
"396","09COV1756","09COV1756_19",2019-08-13 19:47:00,4.52755905511811
"397","07LMS033235","07LMS033235_19",2019-08-14 16:05:00,4.03543307086614
"398","07RAG022147","07RAG022147_19",2019-08-14 17:15:00,1.6240157480315
"399","09SOO1134","09SOO1134_19",2019-08-15 15:15:00,7.13582677165354
"400","09SOO1130","09SOO1130_19",2019-08-15 19:00:00,6.69291338582677
"401","08BEA3747","08BEA3747_19",2019-08-19 15:45:00,6.61909448818898
"402","09DEE2211","09DEE2211_19",2019-08-19 16:20:00,3.83858267716535
"403","08BEA3571","08BEA3571_19",2019-08-19 18:45:00,6.07775590551181
"404","08NOR1750","08NOR1750_19",2019-08-19 21:15:00,3.59251968503937
"405","07HAR025863","07HAR025863_19",2019-08-20 15:54:00,4.02137232845894
"406","08EAS2546","08EAS2546_19",2019-08-20 17:45:00,1.91929133858268
"407","07GRN022903","07GRN022903_19",2019-08-20 18:39:00,3.1742125984252
"408","08EAS1964","08EAS1964_19",2019-08-20 21:00:00,5.43799212598425
"409","08LAK3628","08LAK3628_19",2019-08-22 15:15:00,3.46948818897638
"410","07STL080295","07STL080295_19",2019-08-22 17:30:00,5.65944881889764
"411","08NOR1370","08NOR1370_19",2019-08-22 19:30:00,3.44488188976378
"412","07CHR234411","07CHR234411_19",2019-08-22 21:15:00,4.28149606299213
"413","WalkerPreserve","WalkerPreserve_19",2019-08-26 15:15:00,4.13385826771654
"414","Miller_SWSSD","Miller_SWSSD_19",2019-08-26 15:20:00,3.88779527559055
"415","Miller_Cove","Miller_Cove_19",2019-08-26 17:00:00,4.42913385826772
"416","08WES1340","08WES1340_19",2019-08-26 18:15:00,2.70669291338583
"417","08SAM2865","08SAM2865_19",2019-08-27 15:30:00,3.74015748031496
"418","07LNT163403","07LNT163403_19",2019-08-27 16:30:00,3.91240157480315
"419","07SFS041891","07SFS041891_19",2019-08-27 20:27:00,10.3838582677165
"420","07PAT187623","07PAT187623_19",2019-08-28 15:45:00,3.1003937007874
"421","08SAM3047","08SAM3047_19",2019-08-28 16:15:00,1.03346456692913
"422","07PAT231079","07PAT231079_19",2019-08-28 17:53:00,2.53444881889764
"423","09BLA0768","09BLA0768_19",2019-08-28 18:20:00,3.29724409448819
"424","08WES0622","08WES0622_19",2019-08-28 20:05:00,1.72244094488189
"425","09DEE2208","09DEE2208_19",2019-08-28 21:00:00,4.87204724409449
"426","08LAK3540","08LAK3540_19",2019-08-29 15:15:00,2.73129921259843
"427","08ISS3958","08ISS3958_19",2019-08-29 16:15:00,2.53444881889764
"428","08ISS4573","08ISS4573_19",2019-08-29 18:00:00,2.75590551181102
"429","07CHR070059","07CHR070059_19",2019-09-03 16:00:00,3.39566929133858
"430","07GRN077319","07GRN077319_19",2019-09-03 18:00:00,4.60137795275591
"431","09BLA0817","09BLA0817_19",2019-09-04 18:55:00,1.42716535433071
