"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","samples","sum.taxon"
"46","Psychodidae",0.175438596491228,0.25002500250025,0.310009041817792,-481.896458876658,"none",19,401.063535171665
"47","Psephenidae",0.0526315789473684,0,0.656555907253087,0,"none",3,4.01245579817008
"48","Protoptila",0.473684210526316,0.0721500721500722,0.00229426601144978,-145.165945165945,"positive",9,13.6183864275265
"49","Protanyderus",0.0994152046783626,0,0.288962063602219,0,"none",2,1.95126594327051
"50","Prostoma",0.526315789473684,0.829562594268477,0.000716275626406233,-1669.07993966818,"positive",9,112.957138752141
"51","Polychaeta",-0.0701754385964912,0,0.315302452081746,0,"none",1,1.0752688172043
"52","Polycentropus.s.l.",0.450292397660819,0.0908903506306104,0.00714929005513345,-181.019533616936,"positive",14,26.8589741497328
"53","Plumiperla",0.0584795321637427,0,0.411313791776259,0,"none",1,0.970873786407767
"54","Pleuroceridae.s.l.",0.614035087719298,0.26998751307752,0.000269519572235296,-535.294084232763,"positive",19,148.093612086779
"55","Plecoptera",0.0409356725146199,0,0.690887834692359,0,"none",2,10.230133045667
"56","Planorbidae",-0.333333333333333,-0.543290043290043,0.050090305683375,1111.11758511758,"none",19,353.963515804841
"57","Pilaria",-0.111111111111111,0,0.464041868287925,0,"none",7,13.8803572129679
"58","Physidae",-0.467836257309941,-0.448395523842945,0.00568263409959063,910.014931226907,"negative",19,148.375553570562
"59","Philopotamidae",0.43859649122807,0.105820105820106,0.00761889073519598,-211.948514448514,"positive",12,21.1855234447427
"60","Perlinodes.aurea",-0.087719298245614,0,0.353484786087433,0,"none",2,2.0105071731663
"61","Perlidae",0.0935672514619883,0.0564742025842595,0.598912417555424,-110.684919128942,"none",18,76.9160604753492
"62","Peltodytes",0.0526315789473684,0,0.595972814769046,0,"none",2,2.00080032012805
"63","Pedicia",0.263157894736842,0.124832541712337,0.119872035673158,-249.36127212342,"none",14,36.3148903044912
"64","Parthina",0.0994152046783626,0,0.530600607940764,0,"none",8,8.86946084540547
"65","Parapsyche",0.350877192982456,0.578747628083491,0.0388839278587067,-1130.03162555345,"positive",19,658.790321271115
"66","Paraperla",-0.0175438596491228,-0.0231481481481481,0.944216627991912,53.6447811447811,"none",18,146.000200529441
"67","Paraleptophlebia_.Neoleptophlebia",-0.239766081871345,-0.757390334774687,0.161686216592041,1576.81053003726,"none",19,956.351876438201
"68","Paraleptophlebia.Bicornuta.Group",0.204678362573099,0.119248035914703,0.23174761442607,-238.003971337305,"none",15,42.5897299483654
"69","Palaemonidae",-0.0116959064327485,0,0.927264473525232,0,"none",1,0.925925925925926
"70","Pacifastacus",0.204678362573099,0.225371999565548,0.234239263033982,-447.198463125883,"none",19,113.268486379871
"71","Oxyethira",0.0116959064327485,0,0.963720027293785,0,"none",5,5.03855109981432
"72","Ostracoda",-0.157894736842105,-0.154625969843361,0.363020384944015,318.2503084677,"none",19,133.888626388222
"73","Ormosia",0.169590643274854,0.00942684766214175,0.313473817886444,-18.0052790346907,"none",12,18.2196377108015
"74","Oreogeton",0.409356725146199,0.103052584670232,0.0157143497722189,-205.437038451744,"positive",18,34.7903022742131
"75","Optioservus",-0.0292397660818713,-0.0164054912460298,0.88870559083523,87.9628033419669,"none",19,1063.62881060189
"76","Onocosmoecus",0.0292397660818713,0.00475918522748908,0.888388455701546,-7.40156763422977,"none",18,49.3498887069661
"77","Oligophlebodes",0.0409356725146199,0.0280112044817928,0.833534342865583,-52.7440855860418,"none",18,64.0070061510874
"78","Oligochaeta",-0.333333333333333,-0.0970873786407765,0.0460058677849111,294.134986548134,"negative",19,1870.23142154948
"79","Ochthebius",0.0409356725146199,0,0.690887834692359,0,"none",2,2.82397782397782
"80","Neothremma",-0.380116959064327,-0.0959176511872734,0.0243825058735948,194.375203077683,"negative",15,27.7006217740236
"81","Neophylax",0.0994152046783626,0.160427807486631,0.575636913604803,-305.637891520244,"none",19,336.861923431971
"82","Nemouridae",0.374269005847953,0.103199174406605,0.0256122333988766,-206.626637895988,"positive",14,30.0338592935909
"83","Nematomorpha",-0.0116959064327485,0,0.927264473525232,0,"none",1,0.925925925925926
"84","Nemata",0.333333333333333,0.762156714537667,0.050090305683375,-1465.86671705719,"none",19,1316.48458342194
"85","Neaviperla_.Suwallia",-0.064327485380117,-0.0826719576719578,0.72644698403686,179.601284958428,"none",19,243.670648354668
"86","Narpus",0.339181286549708,0.717532467532467,0.0459993668750371,-1382.89101094983,"positive",19,1112.13269190835
"87","Mystacides",0.0526315789473684,0,0.595972814769046,0,"none",2,2.00080032012805
"88","Muscidae",-0.198830409356725,0,0.102593076198483,0,"none",4,6.37490237857533
"89","Molophilus",0.280701754385965,0.0781625781625783,0.094209656897941,-156.282715106245,"none",13,28.2749970403852
"90","Micrasema",0.0526315789473684,0.122929606625259,0.779566064581155,-225.552190312198,"none",19,421.127585429673
"91","Meringodixa",0.228070175438596,0.118658574540927,0.182444874379844,-235.963274198568,"none",16,57.1149800368165
"92","Megarcys",-0.0116959064327485,0,0.968760414776448,0,"none",8,15.7429424917022
"93","Matriella.teresa",0.409356725146199,0,0.00311112335779603,0,"positive",6,6.80661658602835
"94","Maruina",0.362573099415205,0.220315398886827,0.0327261367250903,-440.333406089709,"positive",18,81.0338160185576
"95","Margaritifera.falcata",-0.380116959064327,-0.0874125874125874,0.0174588049749436,177.01048951049,"negative",10,24.3431615942052
"96","Malenka",0.725146198830409,1.67794557233501,1.66337290277562e-05,-3326.02649153804,"positive",19,1020.29199943415
"97","Lymnaeidae",-0.257309941520468,-0.099640988195205,0.132246685010517,204.081271852356,"none",17,63.990829992552
"98","Lipsothrix",0.0701754385964912,0,0.315302452081746,0,"none",1,1.01010101010101
"99","Limonia",0.0409356725146199,0,0.830713652973054,2.17391304347826,"none",13,49.8943174032212
"100","Limnophila",-0.105263157894737,-0.0838735778494814,0.551275643998266,174.129982719178,"none",17,101.014895634461
"101","Limnichidae",-0.105263157894737,0,0.120690800527446,0,"none",1,1.20481927710843
"102","Limnephiloidea",0.169590643274854,0,0.0634960022929241,0,"none",2,1.95126594327051
"103","Limnephilidae",0.116959064327485,0.116192927047998,0.505965403792183,-225.937031965669,"none",19,150.48207255732
"104","Leuctridae",-0.0935672514619883,-0.0656951743908262,0.599510178560003,150.806141854734,"none",19,355.329622303509
"105","Leptoceridae",0.0760233918128655,0,0.58479367564422,0,"none",5,7.69213778701445
"106","Lepidostoma",0.684210526315789,1.25377011646082,4.94256790918856e-05,-2493.1737096133,"positive",19,570.722681824302
"107","Lepidoptera",0.228070175438596,0,0.148292758447768,0,"none",9,29.5107971258866
"108","Lara",0.461988304093567,0.999528524280999,0.00635508707752533,-1970.855312422,"positive",19,706.954593028155
"109","Labiobaetis",0.0818713450292398,0,0.643428843563621,1.20481927710843,"none",13,26.5508562930974
"110","Kathroperla",-0.087719298245614,-0.0551632833186232,0.624276846120749,114.948922076674,"none",19,84.7059872849021
"111","Isopoda",0.169590643274854,0,0.0634960022929241,0,"none",2,1.99049316696376
"112","Isoperla",0.52046783625731,0.863631618407691,0.00207884793693544,-1726.75725101888,"positive",19,217.48326733325
"113","Ironodes",0.508771929824561,0.773821234179291,0.00262316984309615,-1538.83308507349,"positive",19,366.923169415585
"114","Hydrozoa",-0.0292397660818713,-0.00951837045497816,0.88870559083523,21.8536640581188,"none",18,59.3916545593431
"115","Hydroptila",-0.216374269005848,-0.171560026513822,0.207856803456587,358.431785394004,"none",19,246.868524335946
"116","Hydropsychidae",0.257309941520468,0.240292195309496,0.132246685010517,-478.963392458202,"none",19,105.690671303494
"117","Hydropsyche",0.280701754385965,0.411851487582986,0.0999019621721585,-759.958324330099,"none",19,1315.78564461389
"118","Hydrophilidae",-0.0350877192982456,-0.0141402714932126,0.860826847304382,31.3348416289592,"none",16,57.3341235070263
"119","Hydrochus",-0.0760233918128655,0,0.426438439415802,0,"none",2,3.99070519296828
"120","Hydrobiidae.s.l.",0.777777777777778,0.715071507150715,3.87278156550009e-06,-1432.60142340765,"positive",19,130.958816408059
"121","Hydraenidae",-0.0116959064327485,0,0.927264473525232,0,"none",1,0.925925925925926
"122","Hydraena",0.257309941520468,0.102588383838384,0.132246685010517,-204.447043969103,"none",19,52.2476198052519
