"","taxon","site","mk.tau","mk.Sen","mk.pval","mk.inter","trend","samples","sum.taxon"
"251","Clinocerinae","08CED2898",-0.106060606060606,0,0.384820773523065,0,"none",1,0.454545454545455
"252","Clinocerinae","08CED4192",0.134502923976608,0,0.370829642926376,0,"none",7,14.5093975468976
"253","Clinocerinae","08CED4975",0.0256410256410256,0,0.893694669323233,0,"none",1,1.25
"254","Clinocerinae","08CED5032",0.205882352941176,0,0.164169059421271,0,"none",5,3.37403724747475
"255","Clinocerinae","08CED5046",0.303030303030303,0,0.117507930202104,0,"none",4,1.96317657497782
"256","Clinocerinae","08EAS1536",-0.0989010989010989,0,0.321061992253907,0,"none",1,0.333333333333333
"257","Clinocerinae","08EAS1964",-0.0879120879120879,0,0.589891441422149,0,"none",3,1.74166666666667
"258","Clinocerinae","08EAS2058",-0.05,0,0.809024933497273,0.333333333333333,"none",8,15.2028388278388
"259","Clinocerinae","08EAS2191",-0.0350877192982456,0,0.648076868139146,0,"none",1,1.42857142857143
"260","Clinocerinae","08EAS2272",0.111111111111111,0,0.123077929133899,0,"none",1,0.1875
"261","Clinocerinae","08EAS2446",0.258333333333333,0,0.0977964004767106,0,"none",5,7.28226817042607
"262","Clinocerinae","08EAS2540",0.109090909090909,0,0.429195300440349,0,"none",1,0.1875
"263","Clinocerinae","08EAS2546",-0.0909090909090909,0,0.688664324768293,0,"none",3,6.97916666666667
"264","Clinocerinae","08EAS2631",-0.209150326797386,0,0.207174811476874,0.125,"none",9,18.5493742368742
"265","Clinocerinae","08EVA3555",0,0,NA,0,"none",0,0
"266","Clinocerinae","08EVA3637",0,0,NA,0,"none",0,0
"267","Clinocerinae","08EVA3642",0,0,NA,0,"none",0,0
"268","Clinocerinae","08EVA3813",0.0989010989010989,0,0.321061992253907,0,"none",1,0.129310344827586
"269","Clinocerinae","08ISS3877",0.426470588235294,0,0.00331459648214725,0,"positive",5,5.10597995754246
"270","Clinocerinae","08ISS3958",0,0,NA,0,"none",0,0
"271","Clinocerinae","08ISS3962",0.257352941176471,0,0.114601516583467,0,"none",7,20.4715285559606
"272","Clinocerinae","08ISS4294",-0.209150326797386,0,0.103879155487774,0,"none",4,5.98560503823662
"273","Clinocerinae","08ISS4573",-0.00584795321637427,0,1,0,"none",7,20.8655753968254
"274","Clinocerinae","08ISS4724",0,0,NA,0,"none",0,0
"275","Clinocerinae","08ISS4730",0.124183006535948,0,0.384451128394439,0,"none",5,12.5196078431373
"276","Clinocerinae","08ISS4735",0,0,NA,0,"none",0,0
"277","Clinocerinae","08ISS4748",0,0,NA,0,"none",0,0
"278","Clinocerinae","08ISS4884",0.00952380952380952,0,1,0,"none",2,1.06140350877193
"279","Clinocerinae","08LAK2827",0,0,NA,0,"none",0,0
