SITE_ID,SAMPLE_NUMBER,SampleID,Sand (A),Very Fine Gravel (B),Very Fine Gravel (C),Fine Gravel (D),Fine Gravel (E),Medium Gravel (F),Medium Gravel (G),Course Gravel (H),Course Gravel (I),Very Course Gravel (J),Very Course Gravel (K),Small Cobble (L),Medium Cobble (M),Large Cobble (N),Very Large Cobble (O),Small Boulder (P),Medium Boulder (Q),Large Boulder (R)
BSE_21_GolfCrs,BSE_21_Golfcrs_14,1900,5,1,2,1,7,3,5,3,5,11,21,9,8,14,10,1,1,0
07STL005879,07STL005879_14,1902,2,0,0,1,6,5,27,26,22,10,7,0,0,0,0,0,0,0
VashChris,VashChris_14,1903,42,0,2,12,12,13,11,14,3,6,4,0,0,0,0,0,0,0
VashJudd,VashJudd_14,1905,20,19,5,16,8,5,3,4,4,5,4,2,0,2,2,3,0,1
VashShing,VashShing_14,1906,58,1,3,16,6,3,2,9,4,2,7,0,0,0,0,0,0,0
08EAS2446,08EAS2446_15,1909,0,0,0,0,1,6,1,21,11,18,25,15,15,3,0,0,0,0
08ISS4748,08ISS4748_15,1916,2,0,0,0,5,4,9,14,7,12,12,10,18,22,9,4,2,0
08CED2518,08CED2518_15,1917,19,0,1,1,0,7,11,10,16,8,7,8,11,1,0,0,0,0
08CED2711,08CED2711_15,1918,33,0,0,0,0,2,2,4,11,14,15,5,6,2,1,5,1,0
08SAM3047,08SAM3047_15,1919,8,0,2,5,6,10,11,9,21,7,7,8,9,2,1,0,0,0
08LAK3880,08LAK3880_15,1920,4,0,1,0,4,9,17,14,12,15,16,12,3,0,0,0,0,0
08ISS3958,08ISS3958_15,1921,12,0,0,0,6,5,8,12,7,6,8,15,18,4,0,0,0,0
08ISS3877,08ISS3877_15,1922,18,0,0,0,1,6,13,32,49,26,21,8,0,0,0,0,0,0
09BLA0722,09BLA0722_15,1929,1,0,0,1,2,1,4,14,15,21,23,14,5,1,0,0,0,0
09BLA0756,09BLA0756_15,1930,11,0,0,4,4,10,26,30,8,3,7,0,0,0,0,0,0,0
09COV1756,09COV1756_15,1931,18,0,0,4,5,7,26,16,18,9,7,8,1,2,3,1,0,0
09BLA0817,09BLA0817_15,1932,5,2,9,18,25,25,39,18,5,7,4,0,0,0,0,0,0,0
08CED4192,08CED4192_15,1935,0,0,1,1,7,7,7,7,13,22,19,11,16,4,5,4,0,0
08CED2898,08CED2898_15,1936,24,0,0,0,4,8,17,19,10,11,4,5,6,3,0,0,0,0
08SAM2674,08SAM2674_15,1937,37,0,0,0,1,7,12,9,17,8,18,4,0,0,0,0,0,0
09DUW0225,09DUW0225_15,1939,0,0,0,1,7,6,15,17,21,21,10,5,3,2,0,0,0,0
09COV1862,09COV1862_15,1940,2,3,5,6,12,23,30,14,8,4,0,0,0,0,0,0,0,0
08EVA3555,08EVA3555_15,1942,11,0,1,0,1,8,25,26,11,15,9,2,0,0,0,0,0,0
08LAK3628,08LAK3628_15,1943,6,0,0,3,2,2,12,14,19,14,14,15,2,1,0,0,0,0
08EVA3640,08EVA3640_15,1944,2,2,0,1,5,5,7,19,14,14,10,12,9,3,0,0,0,0
08LAK3121,08LAK3121_15,1948,0,0,3,2,3,4,9,11,23,15,17,13,12,3,0,0,0,0
08LAK2827,08LAK2827_15,1949,15,0,0,0,3,1,8,17,19,14,18,9,5,0,1,0,0,0
08SAM0000,08SAM0000_15,1951,4,0,0,0,2,7,13,23,33,19,1,0,0,0,0,0,0,0
08ISS4573,08ISS4573_15,1952,11,0,0,0,0,4,8,9,8,14,28,16,7,5,4,0,0,0
08SAM2855,08SAM2855_15,1953,22,0,0,5,3,9,10,17,8,10,8,13,9,4,4,0,1,0
09BLA0716,09BLA0716_15,1956,0,0,3,4,12,13,21,18,10,11,12,4,3,1,0,0,0,0
08SAM2862,08SAM2862_15,1957,1,0,0,0,6,5,11,23,14,17,4,11,8,2,0,0,0,0
08BEA3478,08BEA3478_15,1963,12,1,5,12,16,31,33,13,3,1,0,0,0,0,0,0,0,0
09MID1537,09MID1537_15,1965,21,3,8,10,4,11,15,13,14,15,4,2,0,0,0,0,0,0
09SOO0943,09SOO0943_15,1970,7,7,4,9,11,13,23,24,21,9,0,0,2,0,0,0,0,1
09SOO1022,09SOO1022_15,1971,0,18,20,12,12,24,17,16,12,2,0,0,0,0,0,0,0,0
09SOO1130,09SOO1130_15,1972,0,0,0,0,4,3,7,4,2,8,21,16,25,13,17,8,7,0
09SOO1134,09SOO1134_15,1973,9,2,6,14,12,14,15,9,16,10,6,6,4,0,3,1,0,0
09SOO1209,09SOO1209_15,1974,0,0,0,0,3,6,7,23,24,23,13,4,5,0,0,0,0,0
08EAS1964,08EAS1964_15,1976,3,3,3,5,7,9,7,8,18,22,19,14,3,0,0,0,0,0
08EAS2058,08EAS2058_15,1977,5,4,3,5,7,7,6,5,19,30,16,11,3,4,0,0,0,0
08EAS2191,08EAS2191_15,1978,4,4,5,8,10,18,8,19,21,14,1,0,0,0,0,0,0,0
08EAS2272,08EAS2272_15,1979,2,7,4,2,10,17,15,15,24,28,2,2,5,2,5,1,0,0
08EAS2540,08EAS2540_15,1980,0,2,1,3,8,9,13,13,14,10,16,13,7,7,0,0,0,0
08EAS2631,08EAS2631_15,1981,3,7,4,4,8,12,4,2,11,22,17,7,7,3,2,1,0,0
08WES0622,08WES0622_15,1982,9,2,4,15,23,29,16,7,4,0,0,0,0,0,0,0,0,0
08WES0629,08WES0629_15,1983,3,5,9,7,12,17,17,22,29,13,2,0,0,0,0,0,0,0
08WES0903,08WES0903_15,1984,5,3,4,5,6,3,3,11,31,32,15,1,0,0,0,0,0,0
08WES1037,08WES1037_15,1985,37,13,10,7,10,5,11,6,5,0,1,0,0,0,0,0,0,0
08WES1178,08WES1178_15,1986,0,3,2,46,12,9,8,9,24,16,10,20,2,0,0,1,0,0
08WES1340,08WES1340_15,1987,1,3,10,4,5,12,26,18,12,9,2,2,4,0,0,0,0,0
08WES1490,08WES1490_15,1988,5,2,6,6,15,13,4,4,19,10,4,6,3,0,1,0,0,0
08WES1579,08WES1579_15,1989,17,9,7,10,10,21,13,15,15,7,3,0,0,0,0,0,0,0
08EAS1536,08EAS1536_15,1995,3,3,6,13,18,16,12,12,7,8,14,6,2,0,0,0,0,0
VashShing,VashShing_15,1996,10,6,1,2,2,9,13,16,25,13,5,1,0,0,0,0,0,0
VashChris,VashChris_15,1997,55,0,2,9,11,25,8,1,1,0,0,0,0,0,0,0,0,0
VashJudd,VashJudd_15,1998,4,3,3,4,5,7,4,12,24,10,7,5,6,3,2,0,1,0
09DUW0277,09DUW0277_15,1999,23,0,0,0,0,10,8,16,23,11,16,9,2,0,0,0,0,0
08LAK3699,08LAK3699_15,2000,7,0,0,3,6,6,20,25,24,9,3,0,1,0,2,0,0,0
08ISS3962,08ISS3962_15,2001,19,0,1,1,2,6,17,18,34,27,7,3,4,0,1,0,0,0
08LAK3879,08LAK3879_15,2004,5,1,2,3,5,10,9,20,9,9,20,7,3,0,0,0,0,0
08CED5046,08CED5046_15,2006,3,0,0,0,1,7,7,13,8,17,12,17,5,4,5,4,1,0
08EVA3642,08EVA3642_15,2007,23,0,0,0,4,13,9,15,16,14,13,4,5,3,0,0,0,0
08EVA3813,08EVA3813_15,2005,6,2,2,3,7,11,18,19,16,16,5,4,3,0,0,0,0,0
09NEW2076,09NEW2076_15,2011,4,1,2,1,3,4,26,34,33,17,2,0,0,0,0,0,0,0
09NEW2102,09NEW2102_15,2012,5,3,2,0,6,3,14,13,15,15,20,4,0,0,0,0,0,0
09MID1817,09MID1817_15,2014,5,0,0,0,1,0,1,9,13,13,16,24,8,9,7,5,0,0
09MIL0340,09MIL0340_15,2015,3,0,0,0,2,3,7,16,14,14,28,9,3,1,3,0,0,0
08BEA3826,08BEA3826_15,2016,0,0,2,4,5,9,14,25,26,20,12,1,3,1,0,0,0,0
08BEA3571,08BEA3571_15,2018,5,0,1,4,11,6,4,15,15,27,14,3,1,1,2,0,0,0
08BEA3474,08BEA3474_15,2017,0,0,0,0,1,5,6,10,9,30,23,8,10,3,0,0,0,0
09BLA0772,09BLA0772_15,2019,0,0,0,0,1,3,4,11,17,28,26,7,5,1,0,0,0,0
